vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type
2,2015-02-10T08:46:15.000,2015-02-10T08:59:50.000,N,1,-73.828262329101563,40.693958282470703,-73.776329040527344,40.645347595214844,1,5.95,19,0,0.5,4.75,0,0.3,24.55,1,1
2,2015-01-09T15:45:22.000,2015-01-09T15:54:32.000,N,1,-73.985671997070313,40.669933319091797,-73.998367309570312,40.679828643798828,3,1.15,7.5,0,0.5,1.5,0,0.3,9.8,1,1
2,2015-01-16T22:07:38.000,2015-01-16T22:14:25.000,N,1,-73.892570495605469,40.746658325195313,-73.909294128417969,40.736202239990234,1,1.74,7.5,0.5,0.5,0,0,0.3,8.8,2,1
2,2015-02-11T20:12:29.000,2015-02-11T20:16:39.000,N,1,-73.952033996582031,40.714122772216797,-73.957847595214844,40.710945129394531,1,0.5,5,0.5,0.5,0,0,0.3,6.3,2,1
2,2015-02-26T10:42:27.000,2015-02-26T10:57:30.000,N,1,-73.89410400390625,40.750774383544922,-73.912811279296875,40.755722045898437,2,1.8,11,0,0.5,0,0,0.3,11.8,2,1
1,2015-02-02T18:46:40.000,2015-02-02T18:58:08.000,N,1,-73.925422668457031,40.761699676513672,-73.915641784667969,40.749153137207031,1,1.3,8.5,1,0.5,0,0,0.3,10.3,2,1
2,2015-02-17T05:04:16.000,2015-02-17T05:34:04.000,N,1,-73.927223205566406,40.692600250244141,-73.918312072753906,40.651378631591797,1,3.47,17,0.5,0.5,0,0,0.3,18.3,1,1
2,2015-01-05T12:58:10.000,2015-01-05T13:04:51.000,N,1,-73.944419860839844,40.807327270507813,-73.960868835449219,40.806556701660156,1,1.29,6.5,0,0.5,0,0,0.3,7.3,2,1
2,2015-02-12T23:28:39.000,2015-02-12T23:35:14.000,N,1,-73.943794250488281,40.746570587158203,-73.928382873535156,40.737293243408203,1,1.64,7.5,0.5,0.5,0,0,0.3,8.8,2,1
1,2015-02-19T19:41:48.000,2015-02-19T19:58:32.000,N,1,-73.937156677246094,40.804126739501953,-73.880416870117187,40.809806823730469,1,3.6,15,0.5,0.5,0,0,0.3,16.3,1,1
1,2015-02-03T14:42:42.000,2015-02-03T14:46:07.000,N,1,-73.992057800292969,40.690689086914063,-73.997917175292969,40.687492370605469,1,0.5,4,0,0.5,0,0,0.3,4.8,1,1
2,2015-02-12T17:38:30.000,2015-02-12T17:40:33.000,N,1,-73.884246826171875,40.749156951904297,-73.882095336914063,40.745098114013672,1,0.41,3.5,1,0.5,0,0,0.3,5.3,2,1
2,2015-02-24T17:39:08.000,2015-02-24T17:54:11.000,N,1,-73.920646667480469,40.756992340087891,-73.902565002441406,40.770397186279297,5,1.78,11,1,0.5,0,0,0.3,12.8,1,1
2,2015-02-08T14:04:49.000,2015-02-08T14:16:00.000,N,1,-73.94439697265625,40.809165954589844,-73.930496215820313,40.816307067871094,1,1.55,9,0,0.5,0,0,0.3,9.8,2,1
2,2015-02-24T16:58:10.000,2015-02-24T17:05:47.000,N,1,-73.917671203613281,40.825416564941406,-73.92730712890625,40.818733215332031,1,0.87,7,1,0.5,0,0,0.3,8.8,2,1
2,2015-02-08T06:40:12.000,2015-02-08T06:49:22.000,N,1,-73.91802978515625,40.742893218994141,-73.869781494140625,40.7340087890625,1,2.72,10.5,0,0.5,0,0,0.3,11.3,2,1
1,2015-01-06T14:16:47.000,2015-01-06T14:26:49.000,N,1,-73.861892700195312,40.750164031982422,-73.873062133789063,40.735618591308594,1,1.6,8,0,0.5,0,0,0.3,8.8,2,1
2,2015-02-04T11:09:51.000,2015-02-04T11:38:25.000,N,1,-73.961685180664063,40.7183837890625,-73.983329772949219,40.687900543212891,1,3.79,20,0,0.5,4.16,0,0.3,24.96,1,1
1,2015-02-12T19:05:00.000,2015-02-12T19:15:29.000,N,1,-73.876724243164063,40.748527526855469,-73.883010864257813,40.731220245361328,1,1.7,8.5,1,0.5,0,0,0.3,10.3,2,1
2,2015-02-16T11:43:01.000,2015-02-16T12:03:06.000,N,1,-73.953437805175781,40.714195251464844,-73.955024719238281,40.689067840576172,1,3.22,15.5,0,0.5,3.26,0,0.3,19.56,1,1
2,2015-02-20T08:08:20.000,2015-02-20T08:12:34.000,N,1,-73.949966430664063,40.785556793212891,-73.952423095703125,40.789642333984375,1,0.43,4.5,0,0.5,1.06,0,0.3,6.36,1,1
1,2015-02-13T19:49:20.000,2015-02-13T19:53:49.000,N,1,-73.994895935058594,40.684577941894531,-74.00347900390625,40.680717468261719,2,0.7,5,1,0.5,0,0,0.3,6.8,2,1
1,2015-02-28T14:53:21.000,2015-02-28T15:03:08.000,N,1,-73.948837280273438,40.801811218261719,-73.968917846679688,40.799293518066406,1,1.8,8.5,0,0.5,1.2,0,0.3,10.5,1,1
